Trial,Task,Cognitive,Visual,Name,Cuisine,Rating,Reviews,Price,Distance,Score,N_Prompt,Text_Prompt,N_Audio,R_Name,R_Audio_Prompt,R_Audio_Confirm,R_Name_Incorrect,R_Audio_Incorrect
1,Nav Hard,Easy,Easy,Nickel Diner,American,4,122,$$$,2.9,0,n_prompt1.mp3,Please find an American restaurant with at least 5 star rating,p_v_trail_1.mp3,NA,NA,NA,NA,NA
1,Nav Hard,Easy,Easy,Off Vine,American,4.5,47,$$$,4.4,0,n_prompt1.mp3,Please find an American restaurant with at least 5 star rating,p_v_trail_1.mp3,NA,NA,NA,NA,NA
1,Nav Hard,Easy,Easy,Cooks County,American,5,13,$$,10.4,1,n_prompt1.mp3,Please find an American restaurant with at least 5 star rating,p_v_trail_1.mp3,NA,NA,NA,NA,NA
1,Nav Hard,Easy,Easy,Patina,French,4,99,$$$$,13.5,0,n_prompt1.mp3,Please find an American restaurant with at least 5 star rating,p_v_trail_1.mp3,NA,NA,NA,NA,NA
1,Nav Hard,Easy,Easy,Desert Rose,American,3.5,28,$$$$,24.9,0,n_prompt1.mp3,Please find an American restaurant with at least 5 star rating,p_v_trail_1.mp3,NA,NA,NA,NA,NA
2,Nav Easy,Easy,Easy,Chipotle,Mexican,4,27,$,7.2,0,n_prompt1.mp3,Muhahahahahaha,p_v_trail_2.mp3,NA,NA,NA,NA,NA
2,Nav Easy,Easy,Easy,Woodward Table,American,4,8,$$,10.6,1,n_prompt1.mp3,Muhahahahahaha,p_v_trail_2.mp3,NA,NA,NA,NA,NA
2,Nav Easy,Easy,Easy,Cactus Restaurant,Mexican,4,27,$$,22.3,0,n_prompt1.mp3,Muhahahahahaha,p_v_trail_2.mp3,NA,NA,NA,NA,NA
2,Nav Easy,Easy,Easy,Wingos,American,3.5,10,$$,28.1,0,n_prompt1.mp3,Muhahahahahaha,p_v_trail_2.mp3,NA,NA,NA,NA,NA
2,Nav Easy,Easy,Easy,Bar Cotto,Italian,4.5,47,$$,29.3,0,n_prompt1.mp3,Muhahahahahaha,p_v_trail_2.mp3,NA,NA,NA,NA,NA
